town,region
Abergele ,Wales
Aberystwyth ,Wales
Amble ,North East
Ashington (Northumberland) ,North East
Bangor ,Wales
Barrow-in-Furness ,North West
Barry ,Wales
Barton-upon-Humber ,Yorkshire and The Humber
Berwick-upon-Tweed ,North East
Bexhill ,South East
Bideford ,South West
Birkenhead ,North West
Blackfield ,South East
Blackpool ,North West
Blyth (Northumberland) ,North East
Bognor Regis ,South East
Bootle ,North West
Bournemouth ,South West
Bridlington ,Yorkshire and The Humber
Bridport ,South West
Brightlingsea ,East of England
Brixham ,South West
Broadstairs ,South East
Bude ,South West
Budleigh Salterton ,South West
Burnham-on-Sea ,South West
Burry Port ,Wales
Caernarfon ,Wales
Caister-on-Sea ,East of England
Christchurch ,South West
Clacton-on-Sea ,East of England
Cleethorpes ,Yorkshire and The Humber
Clevedon ,South West
Cleveleys ,North West
Colwyn Bay ,Wales
Cowes ,South East
Cromer ,East of England
Crosby ,North West
Dartmouth ,South West
Dawlish ,South West
Deal ,South East
Dover ,South East
Easington (County Durham) ,North East
East Cowes ,South East
East Wittering ,South East
Eastbourne ,South East
Exmouth ,South West
Falmouth ,South West
Felixstowe ,East of England
Filey ,Yorkshire and The Humber
Fleetwood ,North West
Folkestone ,South East
Formby ,North West
Freshwater ,South East
Gorleston-on-Sea ,East of England
Gosport ,South East
Great Yarmouth ,East of England
Grimsby ,Yorkshire and The Humber
Hartlepool ,North East
Harwich ,East of England
Hastings ,South East
Hayle ,South West
Hemsby ,East of England
Herne Bay ,South East
Hessle ,Yorkshire and The Humber
Heysham ,North West
Holyhead ,Wales
Hornsea ,Yorkshire and The Humber
Hoylake ,North West
Hunstanton ,East of England
Hythe ,South East
Ilfracombe ,South West
Immingham ,Yorkshire and The Humber
Kingsbridge ,South West
Kinmel Bay ,Wales
Leiston ,East of England
Littlehampton ,South East
Llandudno ,Wales
Llandudno Junction ,Wales
Llanelli ,Wales
Llantwit Major ,Wales
Looe ,South West
Lowestoft ,East of England
Lymington ,South East
Lytham St Anne's ,North West
Mablethorpe ,East Midlands
Margate ,South East
Marske-by-the-Sea ,North East
Maryport ,North West
Milford Haven ,Wales
Minehead ,South West
Minster (Swale) ,South East
Morecambe ,North West
Netley ,South East
New Romney ,South East
Newbiggin-by-the-Sea ,North East
Newhaven ,South East
Newquay ,South West
North Walney ,North West
Northam ,South West
Paignton ,South West
Peacehaven ,South East
Pembroke ,Wales
Pembroke Dock ,Wales
Penarth ,Wales
Penryn ,South West
Penzance ,South West
Peterlee ,North East
Plymstock ,South West
Poole ,South West
Port Talbot ,Wales
Porthcawl ,Wales
Portishead ,South West
Portslade-by-Sea ,South East
Preesall ,North West
Prestatyn ,Wales
Ramsgate ,South East
Redcar ,North East
Rhoose ,Wales
Rhyl ,Wales
Ryde ,South East
Saltash ,South West
Saltburn-by-the-Sea ,North East
Saltdean ,South East
Sandown ,South East
Scarborough ,Yorkshire and The Humber
Seaford ,South East
Seaham ,North East
Seaton ,North West
Seaton (East Devon) ,South West
Selsey ,South East
Shanklin ,South East
Sheerness ,South East
Sheringham ,East of England
Shoreham-by-Sea ,South East
Sidmouth ,South West
Skegness ,East Midlands
South Hayling ,South East
South Shields ,North East
Southend-on-Sea ,East of England
Southport ,North West
Southwick ,South East
St Austell ,South West
St Blazey ,South West
St Ives (Cornwall) ,South West
Stubbington ,South East
Sunderland ,North East
Swanage ,South West
Swansea ,Wales
Teignmouth ,South West
Torpoint ,South West
Torquay ,South West
Tynemouth ,North East
Ventnor ,South East
Wallasey ,North West
Walton-on-the-Naze ,East of England
West Kirby ,North West
West Mersea ,East of England
Weston ,South West
Weston-Super-Mare ,South West
Weymouth ,South West
Whitburn ,North East
Whitby ,Yorkshire and The Humber
Whitehaven ,North West
Whitley Bay ,North East
Whitstable ,South East
Withernsea ,Yorkshire and The Humber
Workington ,North West
Worthing ,South East
